price,year,mileage,tax,steering,condition,owners,model,volume,power,transmission,engine,fuel,drive,acceleration,consumption,country,class,number seats,length,width,height,wheelbase,clearance,wheel size,fuel capacity,weight,gears,maximum speed,fuel consumption city/highway/combined,ecological,co2,engine capacity,boost type,cylinders,cylinder,compression,engine model,timing
450 000 ₽,2010,100 000 км,1 485 ₽ / год,Левый,Не требует ремонта,3 или более,Hyundai,1.1,66,Механика,Бензиновый,АИ-92,Передний,15.6,5.5,Южная Корея,B,5,3825,1665,1490,2455,135,"155/80 R13, 165/65 R14, 175/65 R14",45,1440,5,154,6.9/4.7/5.5,nan,nan,1086,нет,4,3,10,G4HG,SOHC
2 000 000 ₽,2018,75 000 км,2 228 ₽ / год,Правый,Не требует ремонта,1 владелец,nan,1.0,99,Автомат,Гибридный,АИ-95,Полный,nan,5.9,Япония,A,4,3760,1670,1705,2435,180,175/60 R16,30,nan,6,nan,6.7/5.6/5.9,nan,137,996,Турбонаддув,3,4,10,K10C,DOHC
1 630 000 ₽,2017,43 000 км,3 623 ₽ / год,Правый,Не требует ремонта,1 владелец,Subaru,1.6,115,Вариатор,Бензиновый,АИ-92,Передний,nan,5.5,Япония,C,5,4460,1777,1455,2670,130,"205/50 R17, 205/55 R16, 225/40 R18",50,nan,nan,nan,-/-/5.5,nan,nan,1599,нет,4,4,11,FB16,DOHC
710 000 ₽,2011,190 000 км,3 434 ₽ / год,Левый,Не требует ремонта,3 или более,Chevrolet,1.6,113,Автомат,Бензиновый,АИ-95,Передний,12.5,6.8,США,C,5,4597,1788,1477,2685,140,"205/60 R16, 205/65 R15, 215/50 R17",60,1788,6,185,9.0/5.5/6.8,Euro 4,nan,1598,нет,4,4,10.8,nan,DOHC
1 569 000 ₽,2015,189 830 км,15 825 ₽ / год,Левый,Не требует ремонта,2 владельца,Infiniti,2.0,211,Автомат,Бензиновый,АИ-95,Задний,7.3,7.0,Япония,D,5,4790,1820,1445,2850,130,"225/50 R18, 225/55 R17",74,nan,7,245,9.3/5.7/7.0,nan,nan,1991,Турбонаддув,4,4,9.8,m 270 de 20 al,DOHC
1 300 000 ₽,2014,140 000 км,4 410 ₽ / год,Левый,Не требует ремонта,3 или более,Opel,1.8,140,Автомат,Бензиновый,АИ-95,Полный,11.1,7.9,Германия,B,5,4278,1774,1657,2555,190,205/70 R16,54,1926,6,180,10.7/6.3/7.9,Euro 4,257,1798,нет,4,4,10.5,nan,DOHC
8 400 000 ₽,2021,101 000 км,54 150 ₽ / год,Левый,Не требует ремонта,1 владелец,Mercedes-Benz,3.0,367,Автомат,Бензиновый,АИ-95,Полный,6.2,9.4,Германия,F,"6, 7",5207,1956,1823,3135,200,275/55 R19,90,3230,9,246,12.2/7.9/9.4,Euro 6,215,2999,Турбонаддув,6,4,10.5,M256 E30,DOHC
300 000 ₽,2006,220 000 км,2 205 ₽ / год,Левый,Не требует ремонта,3 или более,Nissan,1.5,98,Механика,Бензиновый,АИ-95,Передний,13.1,6.6,Япония,C,5,4436,1695,1445,2535,165,"175/70 R14, 185/65 R15, 195/55 R16",60,1690,5,177,8.7/5.5/6.6,nan,nan,1497,нет,4,4,9.9,nan,DOHC
3 480 000 ₽,2024,5 300 км,16 275 ₽ / год,Левый,Не требует ремонта,1 владелец,Hongqi,2.0,218,Автомат,Бензиновый,АИ-95,Полный,8.7,8.2,Китай,D,5,4760,1907,1700,2870,nan,255/45 R20,64,nan,6,204,11.1/6.8/8.2,nan,nan,1989,Турбонаддув,4,4,nan,nan,DOHC
1 120 000 ₽,2009,110 000 км,3 528 ₽ / год,Левый,Не требует ремонта,2 владельца,Kia,2.0,112,Автомат,Дизельный,ДТ,Полный,16.1,8.0,Южная Корея,C,5,4350,1800,1695,2630,195,"215/65 R16, 235/60 R16",58,2170,4,162,10.1/6.7/8.0,nan,nan,1991,Турбонаддув,4,4,17.3,nan,OHC
950 000 ₽,2012,205 000 км,4 064 ₽ / год,Левый,Не требует ремонта,3 или более,Kia,1.6,129,Автомат,Бензиновый,АИ-95,Передний,11.5,6.8,Южная Корея,C,5,4310,1780,1470,2650,150,"195/65 R15, 205/55 R16",53,1850,6,192,9.5/5.2/6.8,Euro 4,159,1591,нет,4,4,10.5,nan,DOHC
2 808 000 ₽,2017,19 500 км,42 000 ₽ / год,Левый,Не требует ремонта,1 владелец,Alfa,2.0,280,Автомат,Бензиновый,АИ-98,Полный,5.2,6.4,Италия,D,5,4639,1873,1426,2820,100,"205/60 R16, 225/45 R18, 225/50 R17, 225/55 R16",58,nan,8,240,8.9/4.9/6.4,nan,152,1995,Турбонаддув,4,4,10,FCA GME,DOHC
279 000 ₽,2009,90 000 км,1 935 ₽ / год,Левый,Не требует ремонта,2 владельца,Chevrolet,1.5,86,Механика,Бензиновый,АИ-92,Передний,12.5,6.7,США,B,5,4237,1678,1432,2520,160,"205/45 R16, 195/50 R15, 185/60 R14",48,1595,5,172,10.4/5.2/6.7,nan,nan,1498,нет,4,2,9.5,nan,OHC
1 050 000 ₽,2010,129 000 км,17 850 ₽ / год,Левый,Не требует ремонта,2 владельца,Mazda,2.3,238,Автомат,Бензиновый,АИ-95,Полный,8.3,11.5,Япония,D,5,4680,1870,1645,2750,208,"235/55 R19, 235/60 R18, 235/65 R17",69,2289,6,181,15.3/9.3/11.5,Euro 4,273,2260,Турбонаддув,4,4,9.5,L3-VDT,DOHC
1 749 000 ₽,2013,150 700 км,7 650 ₽ / год,Левый,Не требует ремонта,2 владельца,Mercedes-Benz,2.1,170,Автомат,Дизельный,ДТ,Полный,8.8,6.5,Германия,D,5,4536,1840,1669,2755,200,"235/50 R19, 235/60 R17",66,2450,7,205,7.4/5.9/6.5,Euro 5,168,2143,Турбонаддув,4,4,16.2,om651,DOHC
500 000 ₽,2018,309 505 км,3 182 ₽ / год,Левый,Не требует ремонта,1 владелец,Nissan,1.6,102,Механика,Бензиновый,АИ-92,Передний,10.9,7.2,Япония,B,5,4656,1695,1522,2700,160,185/65 R15,50,1620,5,185,9.5/5.8/7.2,nan,171,1598,нет,4,4,9.8,nan,DOHC
196 000 ₽,2000,254 664 км,3 938 ₽ / год,Левый,Не требует ремонта,3 или более,Mazda,2.0,136,Автомат,Бензиновый,АИ-92,Передний,12.0,8.1,Япония,D,5,4575,1710,1430,2610,155,"175/70 R14, 185/65 R15",64,1730,4,195,10.8/6.5/8.1,nan,nan,1991,нет,4,4,9.7,nan,DOHC
5 050 000 ₽,2021,28 800 км,8 595 ₽ / год,Левый,Не требует ремонта,1 владелец,Mini,2.0,192,Автомат,Бензиновый,АИ-95,Полный,7.2,7.3,Великобритания,B,5,4297,1822,1557,2670,165,"225/50 R18, 225/55 R17",51,2120,8,222,8.7/6.4/7.3,Euro 6,150,1998,Турбонаддув,4,4,11,B48A20A,DOHC
