price,year,mileage,tax,steering,owners,model,volume,power,transmission,engine,fuel,drive,acceleration,consumption,country,class,number seats,length,width,height,wheelbase,clearance,wheel size,fuel capacity,weight,gears,maximum speed,ecological,co2,engine capacity,cylinders,cylinder,compression,fuel consumption city,fuel consumption highway,fuel consumption combined,log_price
450000.0,2010.0,100000.0,1485.0,Левый,3.0,Hyundai,1.1,66.0,Механика,Бензиновый,АИ-92,Передний,15.6,5.5,Южная Корея,B,5.0,3825.0,1665.0,1490.0,2455.0,135.0,R14,45.0,1440.0,5.0,154.0,Euro 0,,1086.0,4.0,3.0,10.0,6.9,4.7,5.5,13.017005083966255
2000000.0,2018.0,75000.0,2228.0,Правый,1.0,,1.0,99.0,Автомат,Гибридный,АИ-95,Полный,,5.9,Япония,A,4.0,3760.0,1670.0,1705.0,2435.0,180.0,R16,30.0,,6.0,,Euro 0,137.0,996.0,3.0,4.0,10.0,6.7,5.6,5.9,14.508658238524095
1630000.0,2017.0,43000.0,3623.0,Правый,1.0,Subaru,1.6,115.0,Вариатор,Бензиновый,АИ-92,Передний,,5.5,Япония,C,5.0,4460.0,1777.0,1455.0,2670.0,130.0,R18,50.0,,,,Euro 0,,1599.0,4.0,4.0,11.0,,,5.5,14.30409118627969
710000.0,2011.0,190000.0,3434.0,Левый,3.0,Chevrolet,1.6,113.0,Автомат,Бензиновый,АИ-95,Передний,12.5,6.8,США,C,5.0,4597.0,1788.0,1477.0,2685.0,140.0,R17,60.0,1788.0,6.0,185.0,Euro 4,,1598.0,4.0,4.0,10.8,9.0,5.5,6.8,13.47302165746721
1569000.0,2015.0,189830.0,15825.0,Левый,2.0,Infiniti,2.0,211.0,Автомат,Бензиновый,АИ-95,Задний,7.3,7.0,Япония,D,5.0,4790.0,1820.0,1445.0,2850.0,130.0,R17,74.0,,7.0,245.0,Euro 0,,1991.0,4.0,4.0,9.8,9.3,5.7,7.0,14.265949669063597
1300000.0,2014.0,140000.0,4410.0,Левый,3.0,Opel,1.8,140.0,Автомат,Бензиновый,АИ-95,Полный,11.1,7.9,Германия,B,5.0,4278.0,1774.0,1657.0,2555.0,190.0,R16,54.0,1926.0,6.0,180.0,Euro 4,257.0,1798.0,4.0,4.0,10.5,10.7,6.3,7.9,14.077875591662238
8400000.0,2021.0,101000.0,54150.0,Левый,1.0,Mercedes-Benz,3.0,367.0,Автомат,Бензиновый,АИ-95,Полный,6.2,9.4,Германия,F,6.0,5207.0,1956.0,1823.0,3135.0,200.0,R19,90.0,3230.0,9.0,246.0,Euro 6,215.0,2999.0,6.0,4.0,10.5,12.2,7.9,9.4,15.943742382861155
300000.0,2006.0,220000.0,2205.0,Левый,3.0,Nissan,1.5,98.0,Механика,Бензиновый,АИ-95,Передний,13.1,6.6,Япония,C,5.0,4436.0,1695.0,1445.0,2535.0,165.0,R16,60.0,1690.0,5.0,177.0,Euro 0,,1497.0,4.0,4.0,9.9,8.7,5.5,6.6,12.611541086966115
3480000.0,2024.0,5300.0,16275.0,Левый,1.0,Hongqi,2.0,218.0,Автомат,Бензиновый,АИ-95,Полный,8.7,8.2,Китай,D,5.0,4760.0,1907.0,1700.0,2870.0,,R20,64.0,,6.0,204.0,Euro 0,,1989.0,4.0,4.0,,11.1,6.8,8.2,15.062543139106937
1120000.0,2009.0,110000.0,3528.0,Левый,2.0,Kia,2.0,112.0,Автомат,Дизельный,ДТ,Полный,16.1,8.0,Южная Корея,C,5.0,4350.0,1800.0,1695.0,2630.0,195.0,R16,58.0,2170.0,4.0,162.0,Euro 0,,1991.0,4.0,4.0,17.3,10.1,6.7,8.0,13.928840136128022
950000.0,2012.0,205000.0,4064.0,Левый,3.0,Kia,1.6,129.0,Автомат,Бензиновый,АИ-95,Передний,11.5,6.8,Южная Корея,C,5.0,4310.0,1780.0,1470.0,2650.0,150.0,R16,53.0,1850.0,6.0,192.0,Euro 4,159.0,1591.0,4.0,4.0,10.5,9.5,5.2,6.8,13.76421831620775
2808000.0,2017.0,19500.0,42000.0,Левый,1.0,Alfa,2.0,280.0,Автомат,Бензиновый,АИ-98,Полный,5.2,6.4,Италия,D,5.0,4639.0,1873.0,1426.0,2820.0,100.0,R16,58.0,,8.0,240.0,Euro 0,152.0,1995.0,4.0,4.0,10.0,8.9,4.9,6.4,14.847983400253131
279000.0,2009.0,90000.0,1935.0,Левый,2.0,Chevrolet,1.5,86.0,Механика,Бензиновый,АИ-92,Передний,12.5,6.7,США,B,5.0,4237.0,1678.0,1432.0,2520.0,160.0,R14,48.0,1595.0,5.0,172.0,Euro 0,,1498.0,4.0,2.0,9.5,10.4,5.2,6.7,12.53897064502647
1050000.0,2010.0,129000.0,17850.0,Левый,2.0,Mazda,2.3,238.0,Автомат,Бензиновый,АИ-95,Полный,8.3,11.5,Япония,D,5.0,4680.0,1870.0,1645.0,2750.0,208.0,R17,69.0,2289.0,6.0,181.0,Euro 4,273.0,2260.0,4.0,4.0,9.5,15.3,9.3,11.5,13.864301674514206
1749000.0,2013.0,150700.0,7650.0,Левый,2.0,Mercedes-Benz,2.1,170.0,Автомат,Дизельный,ДТ,Полный,8.8,6.5,Германия,D,5.0,4536.0,1840.0,1669.0,2755.0,200.0,R17,66.0,2450.0,7.0,205.0,Euro 5,168.0,2143.0,4.0,4.0,16.2,7.4,5.9,6.5,14.374555325755864
500000.0,2018.0,309505.0,3182.0,Левый,1.0,Nissan,1.6,102.0,Механика,Бензиновый,АИ-92,Передний,10.9,7.2,Япония,B,5.0,4656.0,1695.0,1522.0,2700.0,160.0,R15,50.0,1620.0,5.0,185.0,Euro 0,171.0,1598.0,4.0,4.0,9.8,9.5,5.8,7.2,13.122365377402328
196000.0,2000.0,254664.0,3938.0,Левый,3.0,Mazda,2.0,136.0,Автомат,Бензиновый,АИ-92,Передний,12.0,8.1,Япония,D,5.0,4575.0,1710.0,1430.0,2610.0,155.0,R15,64.0,1730.0,4.0,195.0,Euro 0,,1991.0,4.0,4.0,9.7,10.8,6.5,8.1,12.185875040240456
5050000.0,2021.0,28800.0,8595.0,Левый,1.0,Mini,2.0,192.0,Автомат,Бензиновый,АИ-95,Полный,7.2,7.3,Великобритания,B,5.0,4297.0,1822.0,1557.0,2670.0,165.0,R17,51.0,2120.0,8.0,222.0,Euro 6,150.0,1998.0,4.0,4.0,11.0,8.7,6.4,7.3,15.434898999271326
